schedule,feedback_objective,feedback_nominal_error,feedback_worst_error,feedback_robust_degradation,active_fraction,smoothness
1111101101001111,0.9340537862806344,0.4479474355323623,0.4689124573507652,0.020965021818402874,0.75,0.4
1111101101010111,0.9382148907747344,0.4473237317817775,0.4682756272425723,0.020951895460794845,0.75,0.5333333333333333
1111101101011011,0.9372804763778181,0.4468272075007883,0.46776778547795006,0.020940577977161756,0.75,0.5333333333333333
1111101101011101,0.9366107372027127,0.4464717966629169,0.467403639550762,0.020931842887845054,0.75,0.5333333333333333
1111101101011110,0.9335761415982223,0.446276701858669,0.4672035422108246,0.020926840352155585,0.75,0.4666666666666667
1111101101100111,0.9315038262371105,0.44658986134650747,0.4675274204508444,0.020937559104336922,0.75,0.4
1111101101101011,0.9359067421376502,0.44609542928127405,0.46702176116267397,0.020926331881399918,0.75,0.5333333333333333
1111101101101101,0.9352399383422233,0.4457415558516546,0.46665921776831815,0.020917661916663555,0.75,0.5333333333333333
1111101101101110,0.9322069528936222,0.4455473034896805,0.4664599997547138,0.02091269626503328,0.75,0.4666666666666667
1111101101110011,0.9294165612184155,0.44547988648678066,0.4663932944995459,0.020913408012765256,0.75,0.4
1111101101110101,0.9340859095754454,0.44512748727010437,0.46603229069326074,0.02090480342315637,0.75,0.5333333333333333
1111101101110110,0.9310544683553496,0.4449340416825606,0.4658339163796648,0.020899874697104193,0.75,0.4666666666666667
1111101101111001,0.92783409819823,0.4446393881482312,0.46553312395109003,0.02089373580285886,0.75,0.4
1111101101111010,0.930137471417371,0.44444671487068166,0.465335559327784,0.020888844457102318,0.75,0.4666666666666667
1111101101111100,0.9241483107611107,0.44409864813860367,0.46497898983243274,0.020880341693829074,0.75,0.3333333333333333
1111101110001111,0.9282970336146285,0.4470065036819787,0.4689124573507652,0.021905953668786504,0.75,0.26666666666666666
1111101110010111,0.9324593705515338,0.44638553869318376,0.4682756272425723,0.021890088549388564,0.75,0.4
1111101110011011,0.93152596804563,0.4458912630588886,0.46776778547795006,0.02187652241906146,0.75,0.4
1111101110011101,0.9308569699605962,0.44553749908784335,0.467403639550762,0.021866140462918626,0.75,0.4
1111101110011110,0.9278227811919287,0.44534330836320213,0.4672035422108246,0.02186023384762248,0.75,0.3333333333333333
1111101110100111,0.9310830076183818,0.4456547088604437,0.4675274204508444,0.021872711590400662,0.75,0.4
1111101110101011,0.9354869308999122,0.44516251541963403,0.46702176116267397,0.021859245743039935,0.75,0.5333333333333333
1111101110101101,0.9348208646162296,0.44481028090500196,0.46665921776831815,0.021848936863316182,0.75,0.5333333333333333
1111101110101110,0.9317882840425747,0.4446169282651306,0.4664599997547138,0.0218430714895832,0.75,0.4666666666666667
1111101110110011,0.9289979571258633,0.4445496551699979,0.4663932944995459,0.021843639329548026,0.75,0.4
1111101110110101,0.9336680392224822,0.4441988864857418,0.46603229069326074,0.021833404207518947,0.75,0.5333333333333333
1111101110110110,0.9306370008319628,0.4440063360750339,0.4658339163796648,0.02182758030463089,0.75,0.4666666666666667
1111101110111001,0.927417216668099,0.4437129847479397,0.46553312395109003,0.021820139203150346,0.75,0.4
1111101110111010,0.9297209906687761,0.44352120209602613,0.465335559327784,0.02181435723175784,0.75,0.4666666666666667
1111101110111100,0.9237325516854106,0.4431747390814923,0.46497898983243274,0.021804250750940446,0.75,0.3333333333333333
1111101111000111,0.9241848439400381,0.4448228641448724,0.46667706314869917,0.02185419900382679,0.75,0.26666666666666666
1111101111001011,0.9285928625280653,0.4443328092143284,0.4661736417011554,0.021840832486827,0.75,0.4
1111101111001101,0.9279298012825057,0.44398214403143416,0.4658127403345432,0.021830596303109018,0.75,0.4
1111101111001110,0.9248988713962932,0.44378965281863053,0.46561442449612583,0.021824771677495303,0.75,0.3333333333333333
1111101111010011,0.9274421052030428,0.44372248946739995,0.46554784638765195,0.021825356920252004,0.75,0.4
1111101111010101,0.9321151774140687,0.4433732827734216,0.46518847630906834,0.02181519353564676,0.75,0.5333333333333333
1111101111010110,0.9290857816018153,0.4431815897991271,0.464990999661101,0.02180940986197394,0.75,0.4666666666666667
1111101111011001,0.9258683705061315,0.4428894771980365,0.46469150411929644,0.02180202692125993,0.75,0.4
1111101111011010,0.9281737789149412,0.4426985478890679,0.4644948326415672,0.02179628475249934,0.75,0.4666666666666667
1111101111011100,0.9221882783029479,0.4423536194880123,0.4641398687142922,0.02178624922627992,0.75,0.3333333333333333
1111101111100011,0.9207546513952697,0.4430033699348116,0.46481176304138416,0.021808393106572566,0.75,0.26666666666666666
1111101111100101,0.9254305908365827,0.44265565861331235,0.4644539603289944,0.021798301715682034,0.75,0.4
1111101111100110,0.9224027688016828,0.44246478572541936,0.4642573442085078,0.02179255848308842,0.75,0.3333333333333333
1111101111101001,0.9245209533799807,0.4421738506269078,0.46395908614133735,0.02178523551442957,0.75,0.4
1111101111101010,0.926827928231477,0.4419837378018918,0.4637632711099706,0.021779533308078802,0.75,0.4666666666666667
1111101111101100,0.9208452419518275,0.4416402766023435,0.46340984581959976,0.021769569217256257,0.75,0.3333333333333333
1111101111110001,0.918054692014029,0.44157292213077404,0.46334300742036705,0.02177008528959301,0.75,0.26666666666666666
1111101111110010,0.9203631678247056,0.4413835900759573,0.46314801354085106,0.021764423464893767,0.75,0.3333333333333333
